policyID,statecode,county,eq_site_limit,hu_site_limit,fl_site_limit,fr_site_limit,tiv_2011,tiv_2012,eq_site_deductible,hu_site_deductible,fl_site_deductible,fr_site_deductible,point_latitude,point_longitude,line,construction,point_granularity
107560,FL,NASSAU COUNTY,0,1037311.14,0,0,1037311.14,1487255.23,0,0,0,0,30.56106,-81.82632,Residential,Masonry,3
908183,FL,NASSAU COUNTY,0,15463.3,0,0,15463.3,11825.56,0,0,0,0,30.57185,-81.82383,Residential,Wood,3
356024,FL,NASSAU COUNTY,0,13893.35,0,0,13893.35,13988.5,0,0,0,0,30.562835,-81.826525,Residential,Wood,3
575299,FL,NASSAU COUNTY,0,316618.23,0,0,316618.23,230328.99,0,0,0,0,30.567566,-81.826584,Residential,Wood,1
790478,FL,NASSAU COUNTY,0,54834.66,0,0,54834.66,63053.72,0,0,0,0,30.60895,-81.83645,Residential,Wood,3
801776,FL,NASSAU COUNTY,0,295269.11,0,0,295269.11,488965.65,0,0,0,0,30.59925,-81.81973,Residential,Wood,1
291781,FL,NASSAU COUNTY,0,723734.17,0,0,723734.17,955908.09,0,0,0,0,30.53674,-81.77496,Residential,Masonry,3
537286,FL,NASSAU COUNTY,0,1741572,0,1741572,1741572,1455184.42,0,0,0,0,30.555161,-81.825684,Residential,Masonry,1
289305,FL,COLUMBIA COUNTY,135450,135450,135450,135450,135450,164978.1,0,0,0,0,30.105968,-82.66227,Residential,Wood,4
697409,FL,COLUMBIA COUNTY,60300,60300,60300,60300,60300,77678.46,0,0,0,0,30.1018,-82.7094,Residential,Wood,1
633944,FL,COLUMBIA COUNTY,22500,22500,22500,22500,22500,19501.76,0,0,0,0,30.1018,-82.7094,Residential,Wood,4
963511,FL,COLUMBIA COUNTY,0,34212.42,0,0,34212.42,33250.37,0,0,0,0,30.1018,-82.7094,Residential,Wood,4
729649,FL,COLUMBIA COUNTY,0,460128.2,0,0,460128.2,626142.46,0,0,0,0,30.1653,-82.73404,Residential,Masonry,1
862584,FL,COLUMBIA COUNTY,0,32169.69,0,0,32169.69,37291.11,0,0,0,0,30.1018,-82.7094,Residential,Wood,4
371891,FL,COLUMBIA COUNTY,0,50550.75,0,0,50550.75,49526.38,0,0,0,0,30.17399,-82.57017,Residential,Wood,4
785595,FL,COLUMBIA COUNTY,42300,42300,42300,42300,42300,53762.62,0,0,0,0,30.1515,-82.6126,Residential,Wood,3
567696,FL,COLUMBIA COUNTY,0,10171.26,0,0,10171.26,16798.29,0,0,0,0,30.16269,-82.64,Residential,Wood,4
219025,FL,COLUMBIA COUNTY,0,155342.88,0,0,155342.88,176189.89,0,0,0,0,30.16269,-82.64,Residential,Wood,4
447216,FL,COLUMBIA COUNTY,0,3698.64,0,0,3698.64,4424.48,0,0,0,0,30.16269,-82.64,Residential,Wood,4
305141,FL,COLUMBIA COUNTY,0,4623.3,0,4623.3,4623.3,4525.86,0,0,0,0,30.16269,-82.64,Residential,Wood,4
625575,FL,COLUMBIA COUNTY,0,33287.76,0,0,33287.76,27375.62,0,0,0,0,30.16269,-82.64,Residential,Wood,4
262109,FL,COLUMBIA COUNTY,0,21267.18,0,0,21267.18,24840.49,0,0,0,0,30.163641,-82.640976,Residential,Wood,1
228457,FL,COLUMBIA COUNTY,0,729556.74,0,0,729556.74,889825.76,0,0,0,0,30.163641,-82.640976,Residential,Masonry,1
622799,FL,COLUMBIA COUNTY,0,350446.14,0,0,350446.14,438049.26,0,0,0,0,30.163641,-82.640976,Residential,Wood,1
233271,FL,COLUMBIA COUNTY,0,2135964.6,0,2135964.6,2135964.6,1728721.59,0,0,0,0,30.163641,-82.640976,Commercial,Reinforced Masonry,1
932950,FL,COLUMBIA COUNTY,0,4623.3,0,4623.3,4623.3,4782.1,0,0,0,0,30.163641,-82.640976,Residential,Wood,1
641952,FL,COLUMBIA COUNTY,0,2469639.6,0,2469639.6,2469639.6,2708463.63,0,0,0,0,30.1515,-82.6126,Commercial,Reinforced Masonry,4
796260,FL,COLUMBIA COUNTY,0,914073.3,0,914073.3,914073.3,1296439.3,0,0,0,0,30.1515,-82.6126,Residential,Masonry,4
301822,FL,COLUMBIA COUNTY,0,3042940.5,0,3042940.5,3042940.5,3181868.99,0,0,0,0,30.1515,-82.6126,Commercial,Reinforced Masonry,4
559927,FL,COLUMBIA COUNTY,0,234997.65,0,0,234997.65,255975.89,0,0,0,0,30.1515,-82.6126,Residential,Wood,4
224400,FL,COLUMBIA COUNTY,0,912600,0,912600,912600,1147247.71,0,0,0,0,30.1515,-82.6126,Residential,Masonry,4
123936,FL,COLUMBIA COUNTY,0,1920744.9,0,1920744.9,1920744.9,2837762.3,0,0,0,0,30.1515,-82.6126,Commercial,Reinforced Masonry,4
333818,FL,COLUMBIA COUNTY,0,455754.6,0,455754.6,455754.6,696809.59,0,0,0,0,30.1515,-82.6126,Residential,Masonry,4
254323,FL,COLUMBIA COUNTY,0,1552693.95,0,0,1552693.95,1552594.58,0,0,0,0,30.1515,-82.6126,Residential,Masonry,4
247444,FL,COLUMBIA COUNTY,0,8910,0,8910,8910,13521.83,0,0,0,0,30.1515,-82.6126,Residential,Wood,4
882598,FL,COLUMBIA COUNTY,0,398968.2,0,398968.2,398968.2,424087.24,0,0,0,0,30.1515,-82.6126,Residential,Masonry,4
386918,FL,COLUMBIA COUNTY,0,4500,0,4500,4500,4238.41,0,0,0,0,30.1515,-82.6126,Residential,Wood,4
497337,FL,COLUMBIA COUNTY,0,31071.6,0,31071.6,31071.6,57802.5,0,0,0,0,30.1515,-82.6126,Residential,Wood,4
526844,FL,COLUMBIA COUNTY,0,4956125.85,0,0,4956125.85,7279557.65,0,0,0,0,30.1515,-82.6126,Commercial,Reinforced Masonry,4
623400,FL,COLUMBIA COUNTY,0,40500,0,40500,40500,34160.94,0,0,0,0,30.1515,-82.6126,Residential,Wood,4
826170,FL,COLUMBIA COUNTY,0,135868.99,0,0,135868.99,234280.26,0,0,0,0,30.185885,-82.614795,Residential,Wood,1
185483,FL,COLUMBIA COUNTY,0,36784.23,0,0,36784.23,58447.64,0,0,0,0,30.185885,-82.614795,Residential,Wood,1
920003,FL,COLUMBIA COUNTY,0,1086940.9,0,0,1086940.9,1770235.43,0,0,0,0,30.185885,-82.614795,Residential,Masonry,1
274246,FL,COLUMBIA COUNTY,0,16767.17,0,0,16767.17,17228.6,0,0,0,0,30.16649,-82.63503,Residential,Wood,1
423636,FL,COLUMBIA COUNTY,0,1404900,0,1404900,1404900,1840643.78,0,42147,0,0,30.176,-82.65581,Residential,Masonry,1
970906,FL,COLUMBIA COUNTY,0,4696520.5,0,0,4696520.5,6342697.9,0,0,450000,0,30.00777,-82.59694,Commercial,Reinforced Masonry,3
227898,FL,COLUMBIA COUNTY,0,67892.48,0,0,67892.48,86628.09,0,0,0,0,30.17509,-82.66252,Residential,Wood,1
525138,FL,COLUMBIA COUNTY,0,86056.32,0,0,86056.32,125938.17,0,0,0,0,30.17501,-82.66205,Residential,Wood,1
923627,FL,COLUMBIA COUNTY,0,67892.48,0,0,67892.48,64169.8,0,0,0,0,30.174776,-82.662277,Residential,Wood,1
619743,FL,COLUMBIA COUNTY,0,67892.48,0,0,67892.48,80898.23,0,0,0,0,30.17476,-82.66251,Residential,Wood,1
910727,FL,COLUMBIA COUNTY,0,86056.32,0,0,86056.32,91244.65,0,0,0,0,30.1745,-82.66205,Residential,Wood,1
363647,FL,COLUMBIA COUNTY,0,67892.48,0,0,67892.48,92333.77,0,0,0,0,30.17447,-82.66251,Residential,Wood,1
512519,FL,COLUMBIA COUNTY,0,101009.36,0,0,101009.36,98181.1,0,0,0,0,30.17417,-82.66218,Residential,Wood,1
904304,FL,COLUMBIA COUNTY,0,67892.48,0,0,67892.48,66272.56,0,0,0,0,30.17451,-82.66351,Residential,Wood,1
835349,FL,COLUMBIA COUNTY,0,67892.48,0,0,67892.48,99945.87,0,0,0,0,30.17475,-82.66314,Residential,Wood,1
891725,FL,COLUMBIA COUNTY,0,86056.32,0,0,86056.32,139415.11,0,0,0,0,30.17514,-82.66341,Residential,Wood,1
923503,FL,COLUMBIA COUNTY,0,86056.32,0,0,86056.32,106664.4,0,0,0,0,30.17474,-82.66348,Residential,Wood,1
292347,FL,COLUMBIA COUNTY,0,132603.34,0,0,132603.34,115117.07,0,0,0,0,30.17664,-82.66314,Residential,Wood,3
363828,FL,COLUMBIA COUNTY,0,132603.34,0,0,132603.34,216561.94,0,0,0,0,30.17638,-82.66314,Residential,Wood,3
110490,FL,COLUMBIA COUNTY,0,91764.15,0,0,91764.15,70364.02,0,0,0,0,30.17623,-82.66406,Residential,Wood,3
480733,FL,COLUMBIA COUNTY,0,457854.5,0,0,457854.5,345588.57,0,0,0,0,30.17698,-82.67019,Residential,Masonry,4
993346,FL,COLUMBIA COUNTY,0,385480.82,0,0,385480.82,558330.42,0,0,0,0,30.174486,-82.671326,Residential,Masonry,4
934992,FL,ST  JOHNS COUNTY,0,213596.46,0,0,213596.46,190329.82,0,0,0,0,29.7917,-81.4271,Residential,Wood,4
645841,FL,ST  JOHNS COUNTY,0,1051338.42,0,0,1051338.42,1069841.98,0,0,0,0,29.7917,-81.4271,Residential,Masonry,4
747846,FL,ST  JOHNS COUNTY,0,6472.62,0,0,6472.62,9957.87,0,0,0,0,29.7917,-81.4271,Residential,Wood,4
482457,FL,ST  JOHNS COUNTY,0,159041.52,0,0,159041.52,249984.64,0,0,0,0,29.776566,-81.47171,Residential,Wood,1
574787,FL,ST  JOHNS COUNTY,0,12945.24,0,0,12945.24,19024.97,0,0,0,0,29.776566,-81.47171,Residential,Wood,1
831418,FL,ST  JOHNS COUNTY,0,29589.12,0,0,29589.12,35207.53,0,0,0,0,29.776566,-81.47171,Residential,Wood,1
968562,FL,ST  JOHNS COUNTY,0,12945.24,0,0,12945.24,16859.05,0,0,0,0,29.776566,-81.47171,Residential,Wood,1
576324,FL,ST  JOHNS COUNTY,29061,29061,29061,29061,29061,40749.33,0,0,0,0,29.7255,-81.466309,Residential,Wood,1
290435,FL,ST  JOHNS COUNTY,48087,48087,48087,48087,48087,68008.1,0,0,0,0,29.7255,-81.466309,Residential,Wood,1
526086,FL,ST  JOHNS COUNTY,128628,128628,128628,128628,128628,133425.18,0,0,0,0,29.7255,-81.466309,Residential,Wood,1
119823,FL,ST  JOHNS COUNTY,128628,128628,128628,128628,128628,168246.71,0,0,0,0,29.7255,-81.466309,Residential,Wood,1
497414,FL,ST  JOHNS COUNTY,128628,128628,128628,128628,128628,176279.14,0,0,0,0,29.7255,-81.466309,Residential,Wood,1
340883,FL,ST  JOHNS COUNTY,4968,4968,4968,4968,4968,5265.92,0,0,0,0,29.7255,-81.466309,Residential,Wood,1
892551,FL,ST  JOHNS COUNTY,157005,157005,157005,157005,157005,131774.3,0,3140.1,0,0,29.7255,-81.466309,Residential,Wood,1
670595,FL,ST  JOHNS COUNTY,459,459,459,459,459,847.36,0,0,0,0,29.7255,-81.466309,Residential,Wood,1
194101,FL,ST  JOHNS COUNTY,459,459,459,459,459,428.69,0,0,0,0,29.7255,-81.466309,Residential,Wood,1
167200,FL,ST  JOHNS COUNTY,1062,1062,1062,1062,1062,1602.72,0,0,0,0,29.7255,-81.466309,Residential,Wood,1
139064,FL,ST  JOHNS COUNTY,2304,2304,2304,2304,2304,2474.16,0,0,0,0,29.7255,-81.466309,Residential,Wood,1
846636,FL,ST  JOHNS COUNTY,1476,1476,1476,1476,1476,1935.04,0,0,0,0,29.7255,-81.466309,Residential,Wood,1
310177,FL,NASSAU COUNTY,185040,185040,185040,185040,185040,313975.87,0,0,0,0,30.57332,-81.45291,Residential,Wood,1
865452,FL,NASSAU COUNTY,0,11095.92,0,0,11095.92,11961.62,0,0,0,0,30.67464,-81.46114,Residential,Wood,3
783429,FL,NASSAU COUNTY,0,8321.94,0,0,8321.94,9646.79,0,0,0,0,30.67464,-81.46114,Residential,Wood,3
878060,FL,NASSAU COUNTY,0,199726.56,0,0,199726.56,277743.75,0,0,0,0,30.67423,-81.46052,Residential,Wood,1
935342,FL,NASSAU COUNTY,0,118356.48,0,0,118356.48,182860.76,0,0,0,0,30.67423,-81.46052,Residential,Wood,1
456376,FL,NASSAU COUNTY,0,17568.54,0,0,17568.54,29936.79,0,0,0,0,30.67423,-81.46052,Residential,Wood,1
363001,FL,NASSAU COUNTY,0,147945.6,0,147945.6,147945.6,238338.59,0,0,0,0,30.67453,-81.46016,Residential,Wood,1
478864,FL,NASSAU COUNTY,0,724933.44,0,0,724933.44,767347.85,0,0,0,0,30.67513,-81.44708,Residential,Masonry,1
600402,FL,NASSAU COUNTY,0,8284485.6,0,0,8284485.6,8073943.68,0,0,0,0,30.64687,-81.45801,Commercial,Reinforced Masonry,1
483983,FL,NASSAU COUNTY,438498,438498,0,0,438498,636264.11,0,0,0,0,30.650143,-81.454407,Residential,Masonry,1
991615,FL,NASSAU COUNTY,0,99960.9,0,0,99960.9,88679.21,0,0,0,0,30.6202,-81.4719,Residential,Wood,4
644573,FL,NASSAU COUNTY,0,669692.78,0,0,669692.78,841130.78,0,0,0,0,30.576765,-81.453979,Residential,Masonry,1
853278,FL,NASSAU COUNTY,0,240539.39,0,0,240539.39,412765.59,0,0,0,0,30.576765,-81.453979,Residential,Wood,1
100658,FL,NASSAU COUNTY,0,331518.28,0,0,331518.28,464703.76,0,0,0,0,30.6202,-81.4719,Residential,Wood,4
433115,FL,NASSAU COUNTY,0,5919.86,0,0,5919.86,9839.94,0,0,0,0,30.576765,-81.453979,Residential,Wood,1
760337,FL,NASSAU COUNTY,0,77426.73,0,0,77426.73,73196.13,0,0,0,0,30.61988,-81.46815,Residential,Wood,1
884738,FL,NASSAU COUNTY,0,765763.8,0,0,765763.8,735948.78,0,0,0,0,30.576765,-81.453979,Residential,Masonry,1
610102,FL,NASSAU COUNTY,0,7532014.45,0,0,7532014.45,10710000,0,0,0,0,30.671095,-81.462097,Commercial,Reinforced Masonry,1
830823,FL,NASSAU COUNTY,0,963962.79,0,0,963962.79,977226.92,0,0,0,0,30.67,-81.462,Residential,Masonry,3
618364,FL,NASSAU COUNTY,0,121066.57,0,0,121066.57,115414.7,0,0,0,0,30.596535,-81.546837,Residential,Wood,1
712563,FL,NASSAU COUNTY,0,70964.84,0,0,70964.84,72362.85,0,0,0,0,30.596535,-81.546837,Residential,Wood,1
493030,FL,NASSAU COUNTY,0,755749,0,0,755749,658571.77,0,0,0,0,30.57326,-81.45367,Residential,Masonry,1
188150,FL,NASSAU COUNTY,0,2162232,0,2162232,2162232,2520816.55,0,0,0,0,30.65372,-81.45105,Commercial,Reinforced Masonry,1
589642,FL,NASSAU COUNTY,0,615141.68,0,0,615141.68,895926.17,0,0,0,0,30.63945,-81.455553,Residential,Masonry,1
846109,FL,NASSAU COUNTY,0,135000,0,135000,135000,138827.52,0,4050,0,0,30.570326,-81.451576,Residential,Wood,3
399079,FL,NASSAU COUNTY,0,161748,0,161748,161748,235301.93,0,0,0,0,30.5708,-81.44959,Residential,Wood,1
680135,FL,NASSAU COUNTY,0,164484,0,164484,164484,194814.85,0,0,0,0,30.5708,-81.44959,Residential,Wood,1
621379,FL,NASSAU COUNTY,0,170532,0,170532,170532,178465.15,0,0,0,0,30.571087,-81.448578,Residential,Wood,1
606710,FL,NASSAU COUNTY,0,181980,0,181980,181980,181216.05,0,5459.4,0,0,30.570854,-81.448212,Residential,Wood,1
443319,FL,NASSAU COUNTY,0,181980,0,181980,181980,151151.13,0,5459.4,0,0,30.571154,-81.448433,Residential,Wood,1
228591,FL,NASSAU COUNTY,0,186012,0,186012,186012,176389.97,0,0,0,0,30.5708,-81.44959,Residential,Wood,1
721610,FL,NASSAU COUNTY,0,192348,0,192348,192348,210005.55,0,0,0,0,30.571323,-81.450188,Residential,Wood,1
507395,FL,NASSAU COUNTY,0,197604,0,197604,197604,203450.71,0,0,0,0,30.570711,-81.448067,Residential,Wood,1
213399,FL,NASSAU COUNTY,0,198468,0,198468,198468,202538.58,0,0,0,0,30.571777,-81.449326,Residential,Wood,1
579400,FL,NASSAU COUNTY,0,198612,0,198612,198612,226675.88,0,0,0,0,30.5716,-81.45134,Residential,Wood,1
509951,FL,NASSAU COUNTY,0,200052,0,200052,200052,335395.98,0,0,0,0,30.57098,-81.44838,Residential,Wood,1
930798,FL,NASSAU COUNTY,0,201276,0,201276,201276,216909.11,0,0,0,0,30.571613,-81.450577,Residential,Wood,1
729247,FL,NASSAU COUNTY,0,207324,0,207324,207324,252344.61,0,0,0,0,30.5708,-81.44959,Residential,Wood,1
288344,FL,NASSAU COUNTY,0,208836,0,208836,208836,310058.81,0,0,0,0,30.5708,-81.44959,Residential,Wood,1
275351,FL,NASSAU COUNTY,0,212436,0,212436,212436,225030.91,0,0,0,0,30.57164,-81.450279,Residential,Wood,1
976690,FL,NASSAU COUNTY,0,218052,0,218052,218052,332681.94,0,0,0,0,30.571306,-81.45015,Residential,Wood,1
507111,FL,NASSAU COUNTY,0,218412,0,218412,218412,222125,0,0,0,0,30.571608,-81.450661,Residential,Wood,1
547458,FL,NASSAU COUNTY,0,221076,0,221076,221076,277280.37,0,0,0,0,30.571609,-81.450615,Residential,Wood,1
827732,FL,NASSAU COUNTY,0,226764,0,226764,226764,303833.37,0,0,0,0,30.571665,-81.450089,Residential,Wood,1
229489,FL,NASSAU COUNTY,0,237132,0,237132,237132,282225.02,0,0,0,0,30.571615,-81.450531,Residential,Wood,1
175251,FL,NASSAU COUNTY,0,239652,0,239652,239652,178583.88,0,0,0,0,30.571812,-81.448822,Residential,Wood,1
590043,FL,NASSAU COUNTY,0,245052,0,245052,245052,241166.46,0,0,0,0,30.571596,-81.450874,Residential,Wood,1
476037,FL,NASSAU COUNTY,0,245052,0,245052,245052,306551.23,0,0,0,0,30.5708,-81.44959,Residential,Wood,1
674960,FL,NASSAU COUNTY,0,257868,0,257868,257868,338372.33,0,0,0,0,30.57086,-81.448174,Residential,Wood,1
743790,FL,NASSAU COUNTY,0,6381518.4,0,6381518.4,6381518.4,8757880.98,0,0,0,0,30.570326,-81.451576,Commercial,Reinforced Masonry,3
817283,FL,NASSAU COUNTY,0,15390000,0,15390000,15390000,11790000,0,461349,0,0,30.570221,-81.451309,Commercial,Reinforced Concrete,1
